업체명,모델명,연료,변속형식,차량형식,자동차 종류,표시연비,도심주행연비,고속도로연비,CO2배출량(g/km),1회충전주행거리(km),배기량,등급,출시연도,예상 연간유류비
벤틀리,Flying Spur V8,휘발유,자동,내연기관,승용차,6.8,5.9,8.3,258,,3996,5등급,2021,3632449
(주) 한신자동차,플러스(PLUS),전기,없음,전기,화물차,2.5,2.5,2.6,,194,,5등급,2020,2303460
토요타,렉서스 UX250h AWD,휘발유,CVT,하이브리드,승용차,15,15.6,14.4,105,,1987,2등급,2021,1646710
벤츠,Mercedes-Benz GLC300 4MATIC Coupe,휘발유,자동,내연기관,승용차,9.2,8.5,10.3,194,,1991,5등급,2021,2684853
벤츠,Mercedes-Benz A220 Sedan,휘발유,자동,내연기관,승용차,11.9,10.4,14.4,149,,1991,3등급,2021,2075685
벤츠,Mercedes-Benz A220,휘발유,자동,내연기관,승용차,11.9,10.4,14.4,149,,1991,3등급,2021,2075685
벤츠,Mercedes-Benz A200 d,경유,자동,내연기관,승용차,16.1,14.4,19,116,,1950,1등급,2021,1400022
아우디,SQ5 Sportback TFSI,휘발유,자동,내연기관,승용차,8.9,7.8,10.7,195,,2995,5등급,2021,2775354
폭스바겐,Tiguan 2.0TDI,경유,자동,내연기관,승용차,15.6,14.2,17.6,121,,1968,2등급,2021,1444894
아우디,RS Q8,휘발유,자동,하이브리드,승용차,6.6,5.8,8.2,265,,3996,5등급,2021,3742523
현대,팰리세이드 2.2 디젤 2WD 7인 20인치 (21),경유,자동,내연기관,승용차,11.7,10.8,13.1,164,,2199,3등급,2021,1926526
현대,팰리세이드 2.2 디젤 AWD 7인 18인치 (21),경유,자동,내연기관,승용차,11.4,10.4,12.8,170,,2199,4등급,2021,1977224
현대,팰리세이드 2.2 디젤 AWD 7인 20인치 (21),경유,자동,내연기관,승용차,11.3,10.4,12.5,171,,2199,4등급,2021,1994721
포드,Ranger Raptor,경유,자동,내연기관,화물차,8.9,8.4,9.5,221,,1996,5등급,2021,2532624
포드,Ranger Wildtrak,경유,자동,내연기관,화물차,10,9.2,11.2,195,,1996,4등급,2021,2254035
현대,팰리세이드 2.2 디젤 2WD 7인 18인치 (21),경유,자동,내연기관,승용차,12.4,11.4,13.8,155,,2199,3등급,2021,1817770
현대,팰리세이드 2.2 디젤 2WD 8인 18인치 (21),경유,자동,내연기관,승용차,12.1,11.1,13.6,159,,2199,3등급,2021,1862839
현대,팰리세이드 2.2 디젤 2WD 8인 20인치 (21),경유,자동,내연기관,승용차,11.7,10.8,13.1,164,,2199,3등급,2021,1926526
